ResNet_VDLF_Mean_Diff,EPOCHS,BATCH_SIZE,VGG16_Accuracy,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet_Accuracy,ResNet_Precision,ResNet_Recall,ResNet_F1,VDLF_Accuracy,VDLF_Precision,VDLF_Recall,VDLF_F1
2.4602,20,32,26.6800,27.4344,26.6800,24.3253,35.5200,37.9519,35.5200,33.8280,38.5000,38.8194,38.5000,36.8413
-0.2602,40,32,35.2500,37.9309,35.2500,34.1779,49.4400,50.5410,49.4400,48.6923,49.1500,50.1606,49.1500,48.6120
-0.6138,60,32,39.9400,41.9405,39.9400,39.2893,52.0400,54.2916,52.0400,51.9086,51.8900,52.5715,51.8900,51.4735
-1.3076,80,32,42.8200,46.1793,42.8200,42.7828,55.3200,56.6568,55.3200,55.0247,53.8600,55.4056,53.8600,53.9654
-2.0708,100,32,45.0800,47.7044,45.0800,45.1756,56.7000,57.4528,56.7000,56.3197,54.5600,55.3521,54.5600,54.4170
-2.0893,120,32,46.5300,48.4097,46.5300,46.4819,57.6200,58.2973,57.6200,57.3923,55.2300,56.7009,55.2300,55.4114
-1.6193,140,32,48.2300,49.4325,48.2300,48.2196,57.5600,58.2674,57.5600,57.4513,55.9900,56.4972,55.9900,55.8844
-1.3037,160,32,47.5700,49.1472,47.5700,47.4937,57.5900,58.6035,57.5900,57.6258,56.3300,57.1748,56.3300,56.3598
-1.7171,180,32,46.3600,49.3399,46.3600,46.5331,58.0200,58.7361,58.0200,57.9693,56.3600,56.8677,56.3600,56.2893
-1.2839,200,32,47.1300,49.2979,47.1300,47.1031,58.2400,59.1587,58.2400,58.2662,57.0600,57.6575,57.0600,56.9916
-1.8080,220,32,48.0700,49.1403,48.0700,47.9246,58.5600,59.0117,58.5600,58.4222,56.5400,57.5603,56.5400,56.6818
-0.9420,240,32,48.1500,49.8276,48.1500,48.1086,57.9300,58.9579,57.9300,57.9434,57.1400,57.5649,57.1400,57.1485
-1.2422,260,32,48.6500,49.6973,48.6500,48.5604,58.6800,59.3906,58.6800,58.6895,57.4400,58.1184,57.4400,57.4730
-1.9709,280,32,48.8500,49.5038,48.8500,48.5321,58.9300,59.7495,58.9300,58.9438,57.0800,57.5296,57.0800,56.9803
-2.0340,300,32,48.3100,49.4945,48.3100,48.1271,59.4300,59.9550,59.4300,59.3623,57.3500,58.0410,57.3500,57.3001
-1.3893,320,32,49.0300,50.2510,49.0300,48.9789,58.9200,59.1645,58.9200,58.6525,57.4200,57.8635,57.4200,57.3961
-1.8655,340,32,48.6000,49.9504,48.6000,48.5943,59.0800,59.7542,59.0800,59.0306,57.2700,57.7463,57.2700,57.1962
-2.4753,360,32,49.4500,50.7379,49.4500,49.1845,59.7200,60.2242,59.7200,59.6815,57.3100,57.5969,57.3100,57.2276
-1.9433,380,32,49.7600,50.5517,49.7600,49.4983,59.5700,60.0325,59.5700,59.4642,57.6800,57.9231,57.6800,57.5805
-2.3703,400,32,50.5000,51.5425,50.5000,50.4158,59.7700,60.2169,59.7700,59.7050,57.3700,57.8595,57.3700,57.3811
0.5898,20,256,24.1300,25.4376,24.1300,22.1313,41.5900,44.0082,41.5900,40.3870,42.6700,43.1024,42.6700,41.4919
-0.0656,40,256,31.2700,32.5190,31.2700,29.6990,50.0300,51.4507,50.0300,49.3315,50.1900,50.6899,50.1900,49.5100
0.5533,60,256,36.3500,37.0400,36.3500,35.1713,53.1600,54.7558,53.1600,52.8474,53.7300,54.9971,53.7300,53.6794
0.1726,80,256,36.0800,40.7032,36.0800,35.6262,55.5400,56.3670,55.5400,55.3184,55.6900,56.4160,55.6900,55.6598
-0.2910,100,256,40.8900,44.0475,40.8900,40.1257,55.9200,56.4545,55.9200,55.6269,55.4900,56.3063,55.4900,55.4711
-0.6273,120,256,46.3400,47.4428,46.3400,45.8273,56.5300,57.2700,56.5300,56.4415,55.9800,56.4336,55.9800,55.8688
0.4134,140,256,47.3500,48.4115,47.3500,47.0404,56.7100,57.1573,56.7100,56.5315,57.1300,57.4545,57.1300,57.0480
-0.3363,160,256,46.8400,48.1730,46.8400,46.7285,57.2900,57.6877,57.2900,57.1641,56.9900,57.2139,56.9900,56.8926
