ResNet_VDLF_Mean_Diff,EPOCHS,BATCH_SIZE,VGG16_Accuracy,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet_Accuracy,ResNet_Precision,ResNet_Recall,ResNet_F1,VDLF_Accuracy,VDLF_Precision,VDLF_Recall,VDLF_F1
-0.5746,20,32,26.6800,27.4344,26.6800,24.3253,35.5200,37.9519,35.5200,33.8280,35.6200,35.5840,35.6200,33.6975
-2.4576,40,32,35.2500,37.9309,35.2500,34.1779,49.4400,50.5410,49.4400,48.6923,46.9600,47.8997,46.9600,46.4631
0.3935,60,32,39.9400,41.9405,39.9400,39.2893,52.0400,54.2916,52.0400,51.9086,52.9900,53.4615,52.9900,52.4128
-0.8670,80,32,42.8200,46.1793,42.8200,42.7828,55.3200,56.6568,55.3200,55.0247,54.6300,55.2169,54.6300,54.3766
-1.3550,100,32,45.0800,47.7044,45.0800,45.1756,56.7000,57.4528,56.7000,56.3197,55.2800,56.1297,55.2800,55.0627
-0.7883,120,32,46.5300,48.4097,46.5300,46.4819,57.6200,58.2973,57.6200,57.3923,56.8000,57.4999,56.8000,56.6766
-1.2463,140,32,48.2300,49.4325,48.2300,48.2196,57.5600,58.2674,57.5600,57.4513,56.2400,57.1534,56.2400,56.2203
-1.3665,160,32,47.5700,49.1472,47.5700,47.4937,57.5900,58.6035,57.5900,57.6258,56.2400,57.1725,56.2400,56.2908
-0.3920,180,32,46.3600,49.3399,46.3600,46.5331,58.0200,58.7361,58.0200,57.9693,57.6800,58.2847,57.6800,57.5325
-1.2487,200,32,47.1300,49.2979,47.1300,47.1031,58.2400,59.1587,58.2400,58.2662,57.0800,57.7149,57.0800,57.0350
-0.5782,220,32,48.0700,49.1403,48.0700,47.9246,58.5600,59.0117,58.5600,58.4222,58.0100,58.2978,58.0100,57.9233
0.1316,240,32,48.1500,49.8276,48.1500,48.1086,57.9300,58.9579,57.9300,57.9434,58.1200,58.8837,58.1200,58.1638
-0.5104,260,32,48.6500,49.6973,48.6500,48.5604,58.6800,59.3906,58.6800,58.6895,58.1100,58.9606,58.1100,58.2179
-1.4531,280,32,48.8500,49.5038,48.8500,48.5321,58.9300,59.7495,58.9300,58.9438,57.6500,57.9437,57.6500,57.4973
-1.8948,300,32,48.3100,49.4945,48.3100,48.1271,59.4300,59.9550,59.4300,59.3623,57.4800,58.1625,57.4800,57.4753
-0.7616,320,32,49.0300,50.2510,49.0300,48.9789,58.9200,59.1645,58.9200,58.6525,58.0200,58.5470,58.0200,58.0236
-1.3746,340,32,48.6000,49.9504,48.6000,48.5943,59.0800,59.7542,59.0800,59.0306,57.5600,58.6299,57.5600,57.6963
-1.6643,360,32,49.4500,50.7379,49.4500,49.1845,59.7200,60.2242,59.7200,59.6815,58.1200,58.4251,58.1200,58.0233
-0.8456,380,32,49.7600,50.5517,49.7600,49.4983,59.5700,60.0325,59.5700,59.4642,58.7300,59.1227,58.7300,58.6717
-1.3919,400,32,50.5000,51.5425,50.5000,50.4158,59.7700,60.2169,59.7700,59.7050,58.4400,58.6811,58.4400,58.3332
-0.0383,20,64,24.6400,26.3351,24.6400,22.6586,39.5800,39.5923,39.5800,37.6941,39.3900,39.5735,39.3900,37.9398
-0.3779,40,64,32.1300,34.0092,32.1300,30.7553,50.1700,51.0190,50.1700,49.5569,49.7400,50.6191,49.7400,49.3054
1.0386,60,64,39.2500,39.9936,39.2500,38.2845,53.1000,54.6015,53.1000,52.8196,54.3900,54.9144,54.3900,54.0809
0.7289,80,64,41.2300,42.9573,41.2300,40.4465,54.7100,55.4984,54.7100,54.3759,55.5100,56.0467,55.5100,55.1434
-0.9061,100,64,43.5500,45.3814,43.5500,43.1484,56.2500,56.8324,56.2500,55.9604,55.3700,55.8370,55.3700,55.0916
-1.4419,120,64,45.4900,46.7803,45.4900,44.9959,57.1300,57.7824,57.1300,56.8876,55.5200,56.6097,55.5200,55.5129
-0.5373,140,64,45.6900,47.5545,45.6900,45.7149,56.8300,57.6954,56.8300,56.7558,56.3300,57.1294,56.3300,56.1725
-0.5068,160,64,47.5800,48.6640,47.5800,47.3265,56.8800,57.6105,56.8800,56.7739,56.4100,56.9467,56.4100,56.3505
0.3449,180,64,46.3100,48.6772,46.3100,46.3752,56.8800,57.5438,56.8800,56.7647,57.2500,57.7267,57.2500,57.2213
-0.7053,200,64,46.6800,48.3538,46.6800,46.4965,57.1000,58.0428,57.1000,57.0737,56.6500,56.8253,56.6500,56.3699
-0.0417,220,64,47.6900,48.8572,47.6900,47.6953,57.5600,58.0120,57.5600,57.4428,57.4800,58.0291,57.4800,57.4190
-0.6773,240,64,46.5900,48.0727,46.5900,46.5572,57.6900,58.1966,57.6900,57.5401,56.9900,57.4745,56.9900,56.9530
-0.7193,260,64,48.1700,48.9233,48.1700,47.8668,58.0500,58.4561,58.0500,57.9233,57.3100,57.7468,57.3100,57.2356
-0.9845,280,64,49.0100,49.6161,49.0100,48.8004,58.5700,58.9863,58.5700,58.4019,57.7000,57.7354,57.7000,57.4548
-0.5437,300,64,47.8300,48.8342,47.8300,47.7040,58.1100,58.7569,58.1100,58.0100,57.5800,58.1061,57.5800,57.5459
-0.0290,320,64,48.3900,49.7594,48.3900,48.3969,58.0400,58.1721,58.0400,57.7834,57.9200,58.2553,57.9200,57.8243
-0.7524,340,64,48.4400,49.2426,48.4400,48.2969,58.9700,59.1194,58.9700,58.7622,58.1700,58.4790,58.1700,57.9931
-0.4291,360,64,47.7700,49.0431,47.7700,47.5800,58.6300,58.9624,58.6300,58.4496,58.1600,58.5241,58.1600,58.1115
-0.7680,380,64,48.5200,49.0272,48.5200,48.1261,59.2600,59.5950,59.2600,59.1019,58.5300,58.6627,58.5300,58.4223
-0.6236,400,64,49.0300,49.8685,49.0300,48.8681,58.7700,58.9789,58.7700,58.6500,58.1300,58.3687,58.1300,58.0461
0.1514,20,128,25.0800,25.6487,25.0800,22.8489,40.6200,42.7252,40.6200,39.5875,41.2200,41.7866,41.2200,39.9317
0.8302,40,128,32.7500,33.7996,32.7500,31.4219,50.8800,52.4045,50.8800,50.3352,51.9100,52.6528,51.9100,51.3478
1.6862,60,128,37.1800,37.3670,37.1800,35.7367,53.4100,54.9744,53.4100,53.1170,55.3100,56.0068,55.3100,55.0296
0.5271,80,128,39.6900,41.3357,39.6900,38.9080,55.4100,56.4954,55.4100,55.2275,56.0500,56.7555,56.0500,55.7956
-0.8011,100,128,42.5600,43.7186,42.5600,41.8000,56.8100,57.4433,56.8100,56.5003,55.9200,56.7144,55.9200,55.8050
-0.2428,120,128,44.2900,45.8906,44.2900,43.6320,56.8800,57.7142,56.8800,56.8676,56.6900,57.4163,56.6900,56.5744
-0.8734,140,128,45.2800,47.3283,45.2800,44.9688,57.3000,58.3960,57.3000,57.3231,56.5400,57.1937,56.5400,56.5519
0.4399,160,128,45.4300,47.0957,45.4300,45.1472,56.9000,57.6508,56.9000,56.8164,57.3800,57.9628,57.3800,57.3040
-0.2461,180,128,46.4600,48.0911,46.4600,46.3008,57.2100,57.9619,57.2100,57.0472,56.9700,57.5811,56.9700,56.9238
0.2572,200,128,43.9600,47.1663,43.9600,44.3373,57.4700,58.1826,57.4700,57.4376,57.8300,58.2395,57.8300,57.6895
-0.0040,220,128,45.6800,47.1629,45.6800,45.6202,57.4200,58.3064,57.4200,57.4478,57.5100,58.1260,57.5100,57.4322
0.3572,240,128,46.8000,47.9462,46.8000,46.7481,57.9100,58.2214,57.9100,57.7471,58.1900,58.7156,58.1900,58.1216
0.3164,260,128,47.0000,47.5899,47.0000,46.8007,58.0200,58.3575,58.0200,57.8918,58.3500,58.7019,58.3500,58.1531
0.0842,280,128,47.4800,48.6342,47.4800,47.3447,58.5000,58.9734,58.5000,58.4628,58.7500,58.8142,58.7500,58.4587
0.0566,300,128,47.1200,47.7116,47.1200,46.7997,58.4000,58.7560,58.4000,58.2282,58.4500,58.7869,58.4500,58.3236
0.2997,320,128,48.1600,49.0305,48.1600,48.1889,58.5200,58.8988,58.5200,58.3675,58.8900,59.0555,58.8900,58.6696
0.0024,340,128,47.6100,48.1620,47.6100,47.4364,58.5600,59.0807,58.5600,58.5203,58.6300,58.9507,58.6300,58.5199
